Uruguay,16190.1,17278.0,17322.1,19.7,19.6
Uzbekistan,1724.8,1529.1,1826.6,77.5,76.1
Vanuatu,3058.1,3095.7,3082.4,24.0,23.4
"Venezuela, RB",..,..,..,32.7,33.3
Vietnam,2715.3,2566.6,2365.6,308.1,305.1
Virgin Islands (U.S.),..,..,35938.0,305.6,306.5
West Bank and Gaza,..,3198.9,3254.5,759.0,740.0
"Yemen, Rep.",..,968.2,882.4,54.0,52.7
Zambia,1291.3,1556.3,1534.9,23.3,22.7
Zimbabwe,1464.0,1683.7,1548.2,37.3,36.8
